Name,TAX_ID_1,TAX_ID_2,Address,Address Line 2,City,County,State,Postal Code,Hours of Operation,Phone1Number,Phone1Name,Phone2Number,Phone2Name,Phone3Number,Phone3Name,Phone4Number,Phone4Name,Phone5Number,Phone5name,PhoneFax,PhoneTTY,PhoneTollFree,PhoneNumberHotline,PhoneNumberBusinessLine,PhoneNumberAfterHours,EmailAddressMain,WebsiteAddress,AgencyClassification,AgencyDescription,CoverageArea,CoverageAreaText,Eligibility,LicenseAccreditation,IRSStatus,LegalStatus,SourceOfFunds,DisabilitiesAccess,FeeStructureSource,ApplicationProcess,DocumentsRequired,TaxonomyTerm / Services Provided,Coverage,lat,lon
New York State Office of the Attorney General Consumer Frauds and Protection Bureau Region 3,31150010500000130110000000,31150010500000130110000000,615 Erie Boulevard West,Suite 104,Syracuse,Onondaga,NY,13204,"Monday - Friday, 8:30 AM - 5 PM",800-771-7755,Consumer Hotline,800-788-9898,TDD for hearing impaired,,,,,,,315-448-4851,,,,315-448-4848,,,www.ag.ny.gov,Public-State,"Mediates consumer complaints (by mail) for Onondaga, Oswego, Cortland, Cayuga, and Madison counties.<br /><br />===========================<br />New York State Office of the Attorney General Consumer Frauds & Protection Bureau Region 3, NYS Office of the Attorney General Consumer Frauds and Protection Bureau Region 3, NYS Office of the Attorney General Consumer Frauds & Protection Bureau Region 3","Cayuga, Cortland, Madison, Onondaga, and Oswego counties",,Individuals residing in or reporting about an issue in New York State,,None or unknown,Government - State,State Funding,Fully accessible,None,Complaint form may be mailed out or downloaded from website www.ag.ny.gov,Call for information,Government Consumer Protection Agencies;,NY - Onondaga County; NY - Oswego County; NY - Cortland County; NY - Madison County; NY - Cayuga County;,-76.16494861,43.04818438
Center for Court Innovation,31150010000000230220010000,31150010000000230220010000,601 Tully Street,,Syracuse,Onondaga,NY,13204,"Administrative hours: Monday - Friday, 8 AM - 4 PMService hours vary by program; call for details",,,,,,,,,,,,,,,315-266-4330,,,www.courtinnovation.org,,"Supports innovative justice reform projects throughout Upstate New York including the Parent Support Program, the Near Westside Peacemaking Project, and the Patient Navigator Program.",Upstate New York,,Individuals in Upstate New York who are involved in some aspect of the court system,,501(c)(3),Nonprofit - Unincorporated,,Fully Accessible,,,,,NY - Saint Lawrence County; NY - Oswego County; NY - Onondaga County; NY - Lewis County; NY - Jefferson County;,-76.16480102,43.0439087
"Syracuse City Department of Parks, Recreation, and Youth Programs",31150011700000080080010000,31150011700000080080010000,412 Spencer Street,,Syracuse,Onondaga,NY,13204,"Monday - Friday, 8 AM - 5 PM",,,,,,,,,,,315-428-8513,,,,315-473-4330,,,www.syracuse.ny.us/parks/,Public-City,"Offers programs which develop, maintain and make available to the community recreational facilities and grounds which can be used for a variety of leisure-time activities for the residents of Syracuse and Onondaga County.<br /><br />===========================<br />Syracuse City Department of Parks & Recreation, Syracuse City Department of Parks Recreation and Youth Programs, Syracuse City Department of Parks Recreation & Youth Programs, Syracuse City Youth Programs, Syracuse City Department of Parks Recreation and Youth Programs, Syracuse City Youth Programs, City of Syracuse Department of Parks & Recreation, City of Syracuse Department of Parks and Recreation, City of Syracuse Department of Parks Recreation and Youth Programs, City of Syracuse Department of Parks Recreation & Youth Programs, City of Syracuse Youth Programs, City of Syracuse Department of Parks Recreation and Youth Programs, City of Syracuse Youth Programs","Onondaga County, primarily the City of Syracuse",,Residents and visitors to the City of Syracuse,,None or unknown,Government - City,City taxes,Accessibility varies by location; call for details,,,,Volunteer Opportunities;,NY - Onondaga County;,-76.16473365,43.05792434
"Morgan Neilon, PMHNP-BC",31150010500000100020010000,31150010500000100020010000,620 Erie Boulevard East,Suite 204,Syracuse,Onondaga,NY,13204,"Monday - Friday, 10 AM - 6:30 PM",,,,,,,,,,,315-445-1201,,,,315-445-1200,,,www.Psychiatric-NP.com,,"Provides mental health counseling and medication management services to individuals ages 13 years and older.<br /><br />==============================<br />Therapist, Counselor, NPP, PNP, Psychiatric Nurse Practitioner, Psychiatry",Onondaga and Oswego counties,,Individuals ages 13 years and older,NY 40 401348 (01/16),Commercial,Private Practice,,Fully Accessible,Is an out-of-network provider; call for fee schedule and payment information,Appointment required; call for information,Call for information,Individual Counseling; Adolescent/Youth Counseling; Eating Disorders Treatment; Psychological Assessment; Psychological Assessment; Clinical Psychiatric Evaluation; Psychiatric Disorder Counseling; Psychiatric Medication Services; Adult Psychiatry; Child and Adolescent Psychiatry; General Psychiatry; Geriatric Psychiatry; Behavior Modification; Dialectical Behavior Therapy; Cognitive Behavioral Therapy; Private Counseling / Therapy;,NY - Oswego County; NY - Onondaga County;,-76.1647223,43.04936327
CirCare Integrating Health Services,31150010500000100020010000,31150010500000100020010000,620 Erie Boulevard West,Suite 302,Syracuse,Onondaga,NY,13204,"Monday - Friday, 8:30 AM - 5 PM",,,,,,,,,,,315-472-0084,,,,315-472-7363,,,http://cir.care/,"Private, Nonprofit","<p> Provides a variety of peer services, including individual peer partnership, peer support groups and social events, and a skill-building team. Mentors use personal experience to support other recipients of mental health services in the areas of community connection, socialization, building natural supports, skill development, communicating with providers, and overall wellness.</p>",Onondaga County,,,,501(c)(3),Nonprofit - Incorporated,"NYS Office of Mental Health, NYS Medicaid, Onondaga County Deptartment of Mental Health, Onondaga County Department of Social Services, Syracuse City School District, Department of Housing and Urban Development",Fully Accessible,,,,,NY - Onondaga County;,-76.1647223,43.04936327
Family Tapestry,31150010500000100020010000,31150010500000100020010000,620 Erie Boulevard West,Suite 302,Syracuse,Onondaga,NY,13204,Meeting times vary; call for details,315-807-2936,Contact Person - Jean Austin,315-317-5587,Contact Person - Holly Cross,,,,,,,,,,,315-559-2174,,familytapestryinc@gmail.com,,,<p> A parent support group. Provides support for parents of children with mental and developmental disorders.<br /> </p>,Onondaga County,,Parents of children with mental and developmental disorders,,501(c)(3),Voluntary association,,Fully Accessible,None,Please call the group contact person to confirm the number of children that will need child care.,Call for required documentation,Parent Support Groups; Disability Related Parenting Programs;,NY - Onondaga County;,-76.1647223,43.04936327
Spanish Action League of Onondaga County (La Liga),31150009700000050240010000,31150009700000050240010000,700 Oswego Street,,Syracuse,Onondaga,NY,13204,"Monday - Friday, 8:30 AM - 4:30 PM",315-466-6608,Language Services Hotline,,,,,,,,,315-474-5767,,,,315-475-6153,,execassist@laligaupstateny.org,www.laligaupstateny.org,"Private, Nonprofit","<p> Provides counseling, education,and advocacy for the Hispanic/Latino community in Onondaga County.</p>",Onondaga and Oswego Counties,,Individuals who identify as Hispanic/ Latino,,501(c)(3),Nonprofit - Unincorporated,"Onondaga County Funding, United Way, Susan G. Komen Foundation, SU Office of Sponsored Programs, SUNY Upstate, US Dept of Justice, HUD, CDBG",Fully Accessible,,,,Volunteer Opportunities;,NY - Onondaga County; NY - Oswego County;,-76.16452701,43.04092793
Saint Lucy's Church,31150010000000240150000000,31150010000000240150000000,432 Gifford Street,,Syracuse,Onondaga,NY,13204,"Administrative hours: M, W, F 8:30 - 2",315-475-7273,Saint Lucy's Church,315-424-0023,St. Lucy's Pantry,315-446-4390,Agape Shop,,,,,,,,,,,info@saintlucys.org,www.saintlucys.org,,"Provides a food pantry, community lunch, and a low cost shop of clothing, shoes, household items, and toys.<br /><br />=======================<br />St. Lucy's Church, Saint Lucys Church, St. Lucys Church",Gifford Street neighborhood,,Residents of the Gifford Street neighborhood in need of services,,Registered charity,Nonprofit - Unincorporated,,Fully Accessible,None,Walk-in,Proof of residency,Volunteer Opportunities;,NY - Onondaga County - Syracuse - 13204;,-76.16286551,43.04347863
Syracuse Habitat for Humanity,31150010000000090170010000,31150010000000090170010000,308 Otisco Street,,Syracuse,Onondaga,NY,13204,"Monday - Friday, 8:30 AM - 5 PM",315-475-9172,ReStore,,,,,,,,,315-426-9326,,,,315-422-2230,,shfh@syracusehabitat.org,www.syracusehabitat.org/,"Private, Nonprofit","<p> Builds homes for low-income families who assist in the building process and are given interest-free, 30-year mortgages.</p>",Onondaga County,,Individuals and families with an income below 60% of the HUD median income,,501(c)(3),Nonprofit - Unincorporated,"Individuals, Churches, Service Organizations, Business",Fully Accessible,Homeowner must be able to provide a $1000 down payment and be able to repay the mortgage,Call or go online to apply,"Application form, a recent credit report, copies of two current pay stubs, copy of latest federal tax return and W2",Volunteer Opportunities; Sweat Equity Programs; Building Materials/Supplies Donation Programs; Low Cost Building Materials/Supplies; Real Estate Donation Programs; Appliance Donation Programs;,NY - Onondaga County;,-76.16242323,43.04614832
New Justice Conflict Resolution Services,31150011800000020190000000,31150011800000020190000000,400 Leavenworth Avenue,Suite 100,Syracuse,Onondaga,NY,13204,"Monday - Friday, 9 AM - 4:30 PM",315-471-4676,Onondaga County Office,315-475-0769,Onondaga County Fax,315-343-8370,Oswego County Office,315-343-8369,Oswego County Fax,,,,,,,,,,www.newjusticeservices.org,"Private, Nonprofit","<p> Provides prevention services, alternative dispute resolution intervention services, and pro-social skills to at-risk youth.</p>","Cortland, Onondaga, and Oswego counties",,No restrictions,,501(c)(3),Nonprofit - Incorporated,"Onondaga County Department of Aging and Youth, Onondaga County Dept of Social Services, NYS Office of Alternative Dispute Resolution Programs, 5th & 6th Judical Districts of the NYS Unified Court System, United Way of Central New York.",Fully Accessible,None,,,Volunteer Opportunities;,NY - Onondaga County; NY - Oswego County; NY - Cortland County;,-76.16216235,43.05623989
Signature Music,31150010000000050010000000,31150010000000050010000000,509 West Fayette Street,,Syracuse,Onondaga,NY,13204,By appointment; call for hours of operation,,,,,,,,,,,315-478-0962,,,,315-478-7840,,contact@signaturemusic.org,www.signaturemusic.org,,"<p> Provides music education for teen musicians including free lessons, free instruments, performance opportunities, college preparation, and a summer music camp.</p>",Onondaga County,,Teen musicians in the Syracuse City Schools District and surrounding CNY school districts,,501(c)(3),Nonprofit - Incorporated,,Fully Accessible,"Provides lessons and instruments at no cost; Camp Tuition: Entering grades 9-12: $1500, Entering grades 7-9: $950","Call, walk-in, or go online to apply",Call for required documentation,Musical Instruments; Music Instruction; Special Interest Camps; Musical Instrument Donation Programs; Volunteer Opportunities;,NY - Onondaga County;,-76.16174312,43.04755148
ACR Health,31150010600000120020000000,31150010600000120020000000,627 West Genesee Street,,Syracuse,Onondaga,NY,13204,"Monday - Friday, 8:30 AM - 4:30 PM",,,,,,,,,,,315-472-6515,,800-475-2430,888-475-2437,315-475-2430,,information@acrhealth.org,www.acrhealth.org,"Private, Nonprofit","<p> Provides navigators to help individuals and businesses make informed health insurance decisions. Offers support service to individuals with chronic illnesses, including HIV/AIDS, diabetes, heart disease, obesity, asthma, substance use disorders, and serious mental illness. Provides a variety of targeted prevention and sexual health services to individuals to empower them to make informed and responsible decisions.<br /> <br /> ================================================================<br /> AIDS prevention, HIV prevention, substance abuse prevention, needle exchange, needle-exchange, HIV testing, AIDS testing, Hepatitis C testing, STD testing, HIV test, AIDS test, Hepatitis C test, STD test, Hep C testing, Hep C test, medical bills, medical expenses, health insurance</p>","Cayuga, Herkimer, Jefferson, Lewis, Madison, Oneida, Onondaga, Oswego, and Saint Lawrence counties",,No restrictions,,501(c)(3),Nonprofit - Incorporated,"New York State Department of Health, AIDS Institute, Federal Funding, United Ways, Planned Giving, Donations",Fully Accessible,None,Call or walk-in for information and services,No documentation initially required,Volunteer Opportunities;,NY - Cayuga County; NY - Herkimer County; NY - Jefferson County; NY - Lewis County; NY - Madison County; NY - Oneida County; NY - Onondaga County; NY - Oswego County; NY - Saint Lawrence County;,-76.16152813,43.05295527
Isaiah's Table Emergency Food Pantry,31150010600000060040000000,31150010600000060040000000,620 West Genesee Street,,Syracuse,Onondaga,NY,13204,"Tuesday 1 PM - 3 PM, and third Saturday, 11 AM - 1 PM",,,,,,,,,,,,,,,315-447-7065,,isaiahtable@gmail.com,http://isaiahstable.org/food-pantry/,"Private, Nonprofit",Provides emergency food assistance to neighborhood clients.,Immediate neighborhood; Call Interreligious Food Consortium at 315-474-8855 to determine if within service boundaries,,Call Interreligious Food Consortium at 315-474-8855 to determine if within service boundaries; no one will be turned away in an emergency,,501(c)(3),Faith-based,,Fully Accessible,None,Call or walk-in,ID for each member of the household and proof of address (piece of mail),Food Pantries;,NY - Onondaga County;,-76.16115298,43.05411738
